filepath,title
4399,A motorcycle parked next to squares of colored hanging fabric.
4400,a tall clock tower near a building 
4401,there are two men dressed as knights standing together
4402,Statue of a bear sitting on a park bench.
4403,A stop sign and a yellow street sign together on a pole 
4404,THERE IS A PLATE OF FOOD ON DISPLAY AND CUP OF LIQUID 
4405,A woman leaving the starting point during a ski race.
4406,Jewish man wearing black hat and trench coat sitting on bench. 
4407,Several air planes are on a foggy runway. 
4408,a necklace sitting on a keboard  of a lap top 
4409,A baseball player hitting the ball with the bat at a baseball field. 
4410,A dog that is sitting in a doorway.
4411,A hot dog in a bun covered in condiments.
4412,a little boy that is flying some kind of kite
4413,THERE IS A PLATE OF FOOD ON DISPLAY AND CUP OF LIQUID 
4414,A hot dog in a bun covered in condiments.
4415,A plane is parked at a runway terminal
4416,A group of travelers are searching for their belongings.
4417,Many bananas are on display near fruit in a market.
4418,a woman is swinging a tennis racket on a court
4419,A woman and a dog sit in a huge outdoor chair.
4420,"Six birdohouses lined up in a courtyard on a sunny day,."
4421,Four cranes at a dock next to the ocean.
4422,a man is holding a baby and the baby is playing with the lap top
4423,Two zebras nuzzle heads in a sandy enclosure.
4424,A motion shot of person riding on a horse closely chasing a cow in a dirt arena.
4425,A man sitting at a table next to a donut on a plate.
4426,A young individual surfboards up in the air. 
4427,A napkin holds a bun with crispy fries mustard and ketchup.  
4428,Three animals rest in the shade of a large tree.
4429,A kitchen with a large stove with various pots and pans hanging on the wall.
4430,Two buses parked next to each other at the bus station.
4431,A blue passenger train traveling on train tracks next to another set of tracks.
4432,A dog carries his owner's umbrella through a crowd on the streets.
4433,"The tall giraffe stands next to green, grassy hill."
4434,People are entering and exiting a train at a station.
4435,Two small stuffed animals sit next to one another. 
4436,Round chocolate colored cake sitting on cake dish.
4437,Three guys at a table eating a giant pizza.
4438,A cat sitting on a couch in a room.
4439,A man grilling chicken on a grill with a fork. 
4440,A bus driving down a street with cars in front and behind it.
4441,A red stop sign with a blue street sign on top of it.
4442,a man with a lanyard around his neck who is smiling at a woman
4443,A flower vase with flowers in it next to a stove.
4444,The apples have fallen off the tree onto the ground.
4445,a display of mannequins in an art pop culture store
4446,A group of young people gather with surfboards on a tropical beach.
4447,A bridge and vehicles going down the street.
4448,A Siberian Husky Puppy sitting on the ground in front of a frisbee.
4449,a couple of people riding on some big elephants 
4450,A plate and a bowl that has food in them.
4451,Sheep in the middle of the road infront of a car.
4452,Large wooden grandfathers clock sitting along wooden wall. 
4453,three people sitting on a couch with a nintendo wii remote on the table
4454,White wooden bench in the middle of a beautiful garden.
4455,The person is taking a high jump on their skis.
4456,Two pictures of a woman who is getting ready to hit a tennis ball
4457,A train is parked next to the mountain side.
4458,Man with yellow helmet riding a yellow motorcycle
4459,A boat stowed up on the beaches on sand.
4460,"A kitchen with a stove, refrigerator and a microwave."
4461,A blue sky filled with colorful flying kites.
4462,A woman mixing some food in a pot.
4463,Two men riding in a carriage pulled by horses.
4464,Two giraffes in a exhibit with brown noses.
4465,A kite surfer and a parasailer ride next to each other in the water.
4466,A female skier traveling down a snowy slope.
4467,"This is a place with some things in the house.
"
4468,A twin bed with restraints and a blood pressure machine next to it.
4469,A bathroom with a toilet seat duct-taped shut. 
4470,The woman is outside using her laptop. 
4471,A large tower type building with a large black and gold clock hanging from the side of the tower.
4472,A man leading a cow on a green leash
4473,A red bird is perched on a wooden fence looking away 
4474,The apples have fallen off the tree onto the ground.
4475,A baseball player is getting ready to hit a ball.
4476,Three guys at a table eating a giant pizza.
4477,A bathroom toilet in a small room being remodeled 
4478,A person doing a trick on a snowboard off a hill.
4479,A zebra standing next to a pile of tree branches in a forest.
4480,A group of toy stuffed animals riding down a hill on skis and snowboards.
4481,A man in a black tuxedo smiling at someone holding a microphone.
4482,A man dressed in black and red standing by a red motorcycle.
4483,A street intersection with construction work on the sidewalk.
4484,A man standing beside a parked motorcycle in the woods.
4485,A fire engine traveling through a busy street.
4486,a bed room with a bed a drawer and a window
4487,A pizza with all multiple veggie toppings missing several slices sits on a table.
4488,"A train engine sits inside a train station, a person stands beside it."
4489,Several buses on a street near a covered bus stop.
4490,A mother giraffe with her baby in a fenced area.
4491,"COMPUTER DESK WITH LAPTOP, EXTRA KEYBOARD, AND MONITOR  "
4492,Wine glass full of red wine on a table.
4493,A pet crate and a lot of tools and wires.
4494,A man grilling chicken on a grill with a fork. 
4495,"Baseball batter in a wide stance, waiting for a pitched ball."
4496,A bed that has a blanket on top of it.
4497,A female skier traveling down a snowy slope.
4498,A couple of people are riding a motorcycle
4499,"A bathroom area with sink, counter and decorative mirror."
4500,some brown and white animals grass and trees
4501,The food for tonight is cooked and ready to be eaten. 
4502,A table sitting in a kitchen area with a fridge
4503,The woman is surfboarding on a long ocean wave. 
4504,A painting of birds flying in the sky
4505,A red and yellow fire hydrant sitting in front of a building.
4506,a plate with some bananas on it 
4507,A weathered sign stands on the side of a street. 
4508,Statue of a bear sitting on a park bench.
4509,People stand around a farmers market with apples and bananas.
4510,A building has a tower with a clock on it.
4511,A banana sits in front of a display of Christmas pottery.
4512,a woman is swinging a tennis racket on a court
4513,a young person on a city street holding something
4514,A man riding a sail board on a large lake.
4515,A man surfing just about to catch a wave.
4516,A boy wearing shoes that are too big for him and wearing a cap and holding an umbrella.
4517,The guy is surfing the waves on the water. 
4518,A pretty dog is laying in wet sand.
4519,A cow laying in hay in a stall.
4520,A kite flying in the air with clouds and mountains in the background.
4521,a white male on a skate board ramp
4522,Slice of dessert item on monogrammed small plate.
4523,Person snowboarding down a hill.   
4524,A zebra standing in the grass with its head down.
4525,A herd of horses in a field of grass and rocks.
4526,A man standing near the home plate swinging a bat
4527,Large white boat docked at a dock with multiple trucks.
4528,Large wooden grandfathers clock sitting along wooden wall. 
4529,a person is skiing down a snowy slope
4530,A boy wearing shoes that are too big for him and wearing a cap and holding an umbrella.
4531,A boy doing tricks on a skateboard on a wall. 
4532,Zebras are seen eating hay in a large stall.
4533,A red and yellow fire hydrant sitting in front of a building.
4534,A woman jumping up and swinging a tennis racket at a tennis ball.
4535,The man is laying in the hospital bed without shoes.
4536,A man riding a sail board on a large lake.
4537,Small elephant feeding from a large bull with tusks. 
4538,a man skis through the snow with his dog
4539,a white horse standing in water while drinking
4540,"a man in a field calling cows, with cows behind him"
4541,A home bathroom with blue tiled floor and white walls
4542,a kitchen with a table and a line of cabinets 
4543,A woman stands in the kitchen with a vest draped over a chair.
4544,couple sitting with a dog wearing a cowboy hat
4545,"Herd of cows, walking in a drinking from, a river."
4546,A person that is on her cell phone.
4547,a bedroom with a thing mattress on the ground next to a desk 
4548,The guy is surfing the waves on the water. 
4549,A poorly decorated surfing cake is falling apart.
4550,People walk down the sidewalk with umbrellas on a rainy day.
4551,there are two bears laying on top of rocks
4552,A cat sitting on the back of a chair.
4553,A little girl posing for a photo next to an elephant.
4554,An elephant standing on top of a dirt and grass field.
4555,A black motorcycle with a sidecar parked on cobblestone.
4556,The front of a Harley Davidson store in Paris.
4557,A living room scene with the television on.
4558,"Two children playing in the grass, with animals grazing in the background."
4559,"The tall giraffe stands next to green, grassy hill."
4560,People are entering and exiting a train at a station.
4561,A bike sitting parked on the cement near a moving train.
4562,Two people walk down a side walk near a fire hydrant.
4563,A banana sits in front of a display of Christmas pottery.
4564,A group of birds flying in the sky and sitting on a traffic light.
4565,A living room scene with the television on.
4566,Two men riding in a carriage pulled by horses.
4567,An up close shot of a seagull flying in front of the beach
4568,A man sits in a waiting area with a laptop. 
4569,A large metal vase of flowers on a table.
4570,a person riding a red motor cycle down the street
4571,a black and white photo of a person with a doughnut
4572,A banana sits in front of a display of Christmas pottery.
4573,A couple of chefs preparing food in a kitchen.
4574,A man sitting at a table next to a donut on a plate.
4575,A person holding up something under a street sign
4576,some baseball players playing baseball on a field
4577,A sandwich and fries are sitting on a plate.
4578,A small plate with a cake next to a coffee pot.
4579,Crowded tray on counter with kitchen items and a timer.
4580,a man that is in a kitchen under a sign.
4581,there are many different donuts in a large box
4582,A group of young people gather with surfboards on a tropical beach.
4583,a person riding a red motor cycle down the street
4584,a close up of many different cup cakes
4585,Containers with different types of food inside of them. 
4586,A woman mixing some food in a pot.
4587,One elephant with its front feet on the back of another elephant.
4588,a male with a black tie and drink and red shirt
4589,A skateboard enthusiast doing a jump on a skateboard on concrete near a small tan brick building with tinted windows.
4590,"A table topped with a vase of roses, glass of wine and other personal items."
4591,a man with a lanyard around his neck who is smiling at a woman
4592,The dishes have been washed and the dish towels are hanging neatly on the cupboards.
4593,"two zebras standing in a green field next to trees, a wooden log and shrubbery "
4594,A woman mixing some food in a pot.
4595,A toilet is in a bathroom near a stool.
4596,A truck in a road passing underneath a traffic light.
4597,A man is decorating a christmas tree while watching TV.
4598,Two girls in dresses standing with an umbrella.
4599,some veggies and meat are on a plate
4600,A red and yellow fire hydrant sitting in front of a building.
4601,A woman sitting at a table with a cake with candles.
4602,The woman is reaching for the Frisbee while the man watches.
4603,black and white image of a bench in a forest
4604,A skiier posing in front of a sign on a ski slope.
4605,an elephant in captivity with trees in the background
4606,A couple dogs playing on a rug in a small living room between a fireplace and the stairs.
4607,a little boy that is flying some kind of kite
4608,Two men that are on a court playing frisbee.
4609,A pet crate and a lot of tools and wires.
4610,A group of toy stuffed animals riding down a hill on skis and snowboards.
4611,A zebra standing in the grass with its head down.
4612,A woman flying a red kite on a brown field.
4613,A decorative cake topped with plastic hippo models and strawberries.
4614,a coin meter that has paint all over it
4615,The dash of a stove showing the oven temperature and pans on the stove top.
4616,"Man sitting in a messy living room with couch, chair, and media center."
4617,a clock on a tower wit ha sky background
4618,Six well-dressed men drinking beer and eating pizza.
4619,The dash of a stove showing the oven temperature and pans on the stove top.
4620,Three dogs on the lap of a woman in the driver's seat of a convertible.
4621,A skateboard enthusiast doing a jump on a skateboard on concrete near a small tan brick building with tinted windows.
4622,Broccoli is on a cutting board and is being cut in to smaller pieces.
4623,There are bike handlebars in front ot a bench.
4624,A large jetliner flying through a cloudy blue sky.
4625,This is an image of a vase of cut flowers.
4626,a clock on a tower wit ha sky background
4627,Large furnished living room with white furniture and hardwood floors. 
4628,"a donut being used as an ornament for a chistmas tree
"
4629,A view of a river with a few boats on it.
4630,Several motorcycles parked in a parking lot at night. 
4631,An old style prop plane flying low near a beach.
4632,The man sitting with a can of soda smiles while petting a cat. 
4633,a clock tower is lit up at night
4634,A girl is sitting inside of a suitcase
4635,The people are gathered at the mountain to ski. 
4636,A cat sitting in a sink looking in a mirror.
4637,A zebra standing next to a pile of tree branches in a forest.
4638,A person who is covering their face as they sit next to some luggage.
4639,a black and white photo of a person with a doughnut
4640,"A man and his jeep on a beach watching people flying kites
"
4641,A sheep with all its fur standing in the grass. 
4642,A hard hat is stored on a shelf under a time clock.
4643,A group of motorcycles on a street next to grassy area.
4644,A skiier posing in front of a sign on a ski slope.
4645,A woman eating a donut on a string. 
4646,A baby brushing a woman's teeth with a tooth brush.
4647,A person bends down with a Frisbee in an area with large rocks and picnic tables.
4648,A yellow train traveling over a bridge under a building.
4649,A baseball player hitting the ball with the bat at a baseball field. 
4650,a horse and carriage and a van parked on the side of the road
4651,A large tower with a clock in front of the tree. 
4652,a goalie is making an attempt to block the ball
4653,A man with luggage kicking up his heels 
4654,A cow with an ear tag is standing in tall grass
4655,this is a man and woman eating some barbecue
4656,The people are gathered at the mountain to ski. 
4657,A small clean bathroom separate from the sink
4658,a dog eating toilet paper from the toilet paper holder
4659,A blue Park Ride bus traveling over a bridge.
4660,"Three images of birthday bake, with candles being lit and blown out."
4661,A large person is reaching into a fridge
4662,A toy clipper ship is sailing in shallow water and pebbles.
4663,there are two bears laying on top of rocks
4664,a bike chained up to a pole on the side of a street
4665,The sausage links are frying besides all of the condiments.
4666,An old train sitting on a train track.
4667,A person that is in the snow doing a trick.
4668,This is two zebras nuzzling each other's faces.
4669,a desk with two laptops and a computer monitor
4670,A group of young people gather with surfboards on a tropical beach.
4671,"A giraffe standing next to a fence and a dirt and rock formation, with trees and grass on top of the formation."
4672,A person is snowboarding down a hill toward trees.
4673,Commuter train at platform in populated city on sunny day.
4674,A female skier traveling down a snowy slope.
4675,a big building with a clock built inside of it 
4676,A pair of men in wet suits with surfboards heading towards the ocean.
4677,a person that is hooked up to a kite
4678,A woman sitting next to a little girl in front of giraffe.
4679,A large clock tower stands tall with a gold lined clock.
4680,A picture of a kitchen that is white.
4681,a field that has some sheep in it
4682,a blue and white jet flying and some lights
4683,A poorly decorated surfing cake is falling apart.
4684,a person in a black and blue costume eating a small box of food.
4685,A person walking in the snow carrying luggage.
4686,A truck in a road passing underneath a traffic light.
4687,"A kitchen has a stove, refrigerator and television trays in it."
4688,A baby sitting on a table beside a microwave.
4689,The sausage links are frying besides all of the condiments.
4690,A christmas tree in a living room near a tv
4691,Round chocolate colored cake sitting on cake dish.
4692,A man in a wheelchair shakes the hand of a boy in an orange cap with a skateboard at his feet.
4693,many people in a large public square some of them are flying kites
4694,A man and woman stand by a plate of sandwiches. 
4695,A female tennis player adjusting her racquet strings.
4696,A baby elephant is standing in front of a large elephant.
4697,Sheep in the middle of the road infront of a car.
4698,couple sitting with a dog wearing a cowboy hat
4699,"A batter, catcher and umpire during a baseball game."
4700,Polaroid-like shot of sheep grazing in a green field
4701,A view of a river with a few boats on it.
4702,A black cat sitting in a pottery bucket
4703,there is a man on the tennis court playing in a game
4704,A child in a purple snow suit with ski's and ski poles walking through the snow.
4705,Polaroid-like shot of sheep grazing in a green field
4706,a group of giraffes standing in the corner of a barn
4707,A woman flying a red kite on a brown field.
4708,A woman taking a picture in the rear view mirror.
4709,Four skiers are standing for a group photo.
4710,a black and white photo of a person with a doughnut
4711,A woman holding a package of tomatoes at a farmers market.
4712,"A man in the kitchen, wearing a red apron, is looking in the frig."
4713,A man tending to some of his cattle in a field
4714,a woman on a tennis court attempting to hit a ball with her racket
4715,A kite surfer and a parasailer ride next to each other in the water.
4716,some brown animals a hill a bridge and water
4717,A table with a plate that has a pizza on it along with fresh vegetable and meat toppings.
4718,A man and three kids posing in front of a cake.
4719,A person on the beach flying a kite.
4720,a woman is swinging a tennis racket on a court
4721,A picture of a kitchen that is white.
4722,A woman standing on a beach holding a yellow and blue frisbee.
4723,A worker takes a stoplight down from the pole.  
4724,A cat is sitting on a keyboard sleeping. 
4725,A couple is sitting on a bench while a train is passing by.
4726,A street view of an orange truck driving by.
4727,Broccoli is on a cutting board and is being cut in to smaller pieces.
4728,a couple of dogs that are fighting over a frizbee
4729,A man flies a kite on a cloudy day. 
4730,This bathroom and counter are very standard for suburban life
4731,a bedroom with a thing mattress on the ground next to a desk 
4732,A boy from the Third World holds up a frisbee
4733,40ish man in kitchen picking up hotdog bun. 
4734,a bird feeder that is attached to a tree
4735,A view of a river with a few boats on it.
4736,Man with yellow helmet riding a yellow motorcycle
4737,a person is skiing down a snowy slope
4738,Guys on thegrass court playing a game of tennis
4739,Girl with a cowboy hat and a band around her hands.
4740,A pair of men in wet suits with surfboards heading towards the ocean.
4741,some people holding onto boogie boards as they stand and look at the water
4742,The man is on the top of the snowy hill skiing.
4743,The sausage links are frying besides all of the condiments.
4744,A homemade pizza with jarred sauce and cheese
4745,A small bathroom with a toilet and sink. 
4746,A picture of a giraffe and a goat next to each other.
4747,"A man walking a horse on a dirt track
"
4748,a man is looking into an oven opening
4749,young people watch as an adult cuts a cake
4750,"A plane landing on a runway, in the middle of the day."
4751,Round chocolate colored cake sitting on cake dish.
4752,A couple of planes on  the runway of an airport.
4753,Sheep are laying down together in the snow.
4754,Several white sheep coming toward a metal fence.
4755,Man with no helmet rides a skateboard on a halfpipe
4756,A bus that has a bike on the front of it.
4757,Two young boys flying their kites in a field.
4758,There are many stainless steel details in the kitchen that coordinate with the appliances.
4759,two women sitting at an outdoor dining table in front of a restaurant store front.
4760,A man standing near the home plate swinging a bat
4761,A bike sitting parked on the cement near a moving train.
4762,Buses parked near airplanes at an airport terminal.
4763,A person wiping out on a surfboard on a wave.
4764,Graffiti lounging in a pen next to some tree branches. 
4765,a bedroom with a thing mattress on the ground next to a desk 
4766,a couple of boats and a red car
4767,"The birds are standing in a group on the beach.

"
4768,Two giraffes running side by side in a grass;land in Africa.
4769,The front of a Harley Davidson store in Paris.
4770,The view of a tall clock tower against the sky.
4771,a cat pushing his head through the crack in an opened sliding door
4772,A group of people standing around outside with dogs.
4773,A couple dogs playing on a rug in a small living room between a fireplace and the stairs.
4774,A large tall tower with a clock on top.
4775,"A cafeteria meal of salad, vegetable pizza and apple juice on a plastic tray"
4776,One giraffe is eating while the other giraffe watches.
4777,A pair of birds sit together in a shallow stream.
4778,a person in a black and blue costume eating a small box of food.
4779,A white polar bear walking across a rock hillside.
4780,Some seagulls are standing on the rail of a dock. 
4781,Three elephants standing behind a metal wire fence.
4782,The view of a tall clock tower against the sky.
4783,Small elephant feeding from a large bull with tusks. 
4784,The puppy is waiting for someone to play with.
4785,Three men on a sidewalk with ties and boxers on holding up signs. 
4786,An old-fashioned safe and roll top desk in a green room
4787,A toilet is in a bathroom near a stool.
4788,several red ripe apples in two large wooden boxes
4789,A man sitting on top of a wooden bench.
4790,Man wearing black tennis outfit swinging at a ball. 
4791,Two toddlers eating at a child's table with a dog watching them.
4792,A skateboarder jumps off a bowl while doing a trick.
4793,A woman holding a package of tomatoes at a farmers market.
4794,"A bathroom with a sink, toilet and shower stall."
4795,a table with menus placed on it at a diner
4796,A man on a surfboard riding a wave 
4797,Slice of dessert item on monogrammed small plate.
4798,a man holding onto another persons hand as he leans over to grab a frisbee
4799,"The birds are standing in a group on the beach.

"
4800,a table with menus placed on it at a diner
4801,A cat sitting on a couch in a room.
4802,Two people are skiing on a snow covered hill.
4803,A wooden bench sits beside the forest trail.
4804,A little boy and a man posing together with tennis rackets.
4805,A man is sitting down in what seems to be a Barber shop. 
4806,"A man in the kitchen, wearing a red apron, is looking in the frig."
4807,A giraffe in a grassy area of land with trees surrounding it.
4808,A woman leaning against a cow with a hat on it
4809,A kite surfer and a parasailer ride next to each other in the water.
4810,A baby in a high chair eating  birthday cake.
4811,a single white stork is standing in a river
4812,Two plates of food sitting on a table.
4813,A bunch of people outside of a building.
4814,Three fat birds stand next to a metal grate. 
4815,A small bathroom has two dirty toilets and a sink
4816,Someone snowboarding in the snow during the day.
4817,A small elephant is standing next to a large elephant. 
4818,Two bear cubs play in an animal enclosure.
4819,A close up of a cutting board with pizza and vegetables.
4820,A black and white photo of a man standing with his hand on his truck.
4821,Someone snowboarding in the snow during the day.
4822,Several people holding balloons and standing behind a fence.
4823,A zebra standing next to a pile of tree branches in a forest.
4824,A lunch room with lots of microwaves and vending machines.
4825,Looking though a glass into a industrial kitchen.
4826,A person walking in the snow carrying luggage.
4827,An old red beaten up bus parked in a driveway
4828,A bike sitting parked on the cement near a moving train.
4829,The two soccer players are both trying to control the ball.
4830,A guy standing by fish tank in a living room while two dogs rest on cushions. 
4831,a vintage advertisement with people crowded around a tray of donuts at a party
4832,The bedroom has a wooden roof and floor.
4833,Four girls and two boys sitting in the back of a parked white Ford Super Duty pickup truck.
4834,Two locomotives attached to passenger rail cars sit on the tracks.
4835,A young elephant walking in a field of deep grass.
4836,A boy and girl are looking at an elephant.
4837,a white horse standing in water while drinking
4838,A man is swinging a tennis racket at a tennis ball. 
4839,A blue tiled bathroom with a modern toilet and shower.
4840,A man with a long beard and hair walks along the beach carrying a surfboard
4841,A street with cars and utility trucks on it next to people on sidewalk.
4842,The baseball batter watches the catcher handle the pitch.
4843,Worker standing under the tail of a large passenger plane
4844,"Two men on skis in the snow, with orange cones behind them."
4845,A black cat sitting in a pottery bucket
4846,"Many people standing in a large, open field flying kites."
4847,The metal bin is full of oranges. 
4848,Snow surrounds a standing bear statue on a sidewalk
4849,a black brown and white dog with a red collar
4850,Two men that are on a court playing frisbee.
4851,A bridge and vehicles going down the street.
4852,"Many people standing in a large, open field flying kites."
4853,there are two bears laying on top of rocks
4854,Old and empty industrial kitchen with large stoves.
4855,Three white objects are set on a dirty ground.
4856,A group of motorcycles on a street next to grassy area.
4857,A woman leaning against a cow with a hat on it
4858,a couple of birds stand on a grass hill 
4859,A sheep with all its fur standing in the grass. 
4860,A man with 2 tennis rackets walking across a tennis court.
4861,A white boat sits on the beach in front of the waves.
4862,A group of employees are working with a pair of elephants.
4863,Old and empty industrial kitchen with large stoves.
4864,A man with a rough red beard pets a horse.
4865,"A fuzzy picture of a girl, a bicycle and dvd's."
4866,A baseball player hitting the ball with the bat at a baseball field. 
4867,A kite flying in the air with clouds and mountains in the background.
4868,the train number 66520 is parked at the station
4869,A person on a surfboard riding a wave.
4870,a man riding a motorcycle on the beach
4871,a couple of cars are parked outside a church
4872,"A bathtub, toilet, mirror and sink in a bathroom."
4873,Donkeys walk on the sand along a beach.
4874,The people are riding on the backs of elephants.
4875,A cat sitting on a bench in front of a building.
4876,a person that is jumping his skateboard in the air
4877,The pizza is covered in cheese and grease.
4878,shirtless man in red swim trunks rides surfboard
4879,"A bathroom has a tub, and toilet, and a tiled floor."
4880,A desk with a laptop and a computer on it.
4881,"A fuzzy picture of a girl, a bicycle and dvd's."
4882,A baby girl has her hand on a laptop and looks upset and about to cry.
4883,Two young people playing with black dog in park.
4884,A man is surfing on a wave in the ocean.
4885,A bike that is by a wall in the snow.
4886,A pair of birds sit together in a shallow stream.
4887,A man with a tattoo sitting down and holding his surfboard.
4888,A man in an apron carrying a cake with candles.
4889,The dash of a stove showing the oven temperature and pans on the stove top.
4890,"One story store front with row of chairs and tables, and bikers."
4891,A small blue and yellow ferry boat with people on board
4892,A little girl has a toothbrush in her mouth.
4893,A suitcase and backpack are on the curb with a bus approaching.
4894,The courtyard of a large light colored brick building overlooked by a clock tower.
4895,A slice of pizza sitting on a paper plate.
4896,a wood bench is sitting outside of a building
4897,Several people holding balloons and standing behind a fence.
4898,A man standing on top of a lush green hill near animals.
4899,A woman riding a skateboard on the sidewalk.
4900,A room with a large white bed and a wooden rocking chair.
4901,a dog eating toilet paper from the toilet paper holder
4902,"A furniture store display, with a chair and set out"
4903,A tennis player swinging at a ball above his head.
4904,a dog eating toilet paper from the toilet paper holder
4905,A skateboard enthusiast doing a jump on a skateboard on concrete near a small tan brick building with tinted windows.
4906,A transit bus parked at a stop on a street side.
4907,a skate boarder doing a flip over on the course
4908,A woman catches a Frisbee off her sailboat. 
4909,A lit lamp sitting next to a simple bed.
4910,Two men looking at a computer screen while they are sitting down.
4911,Buses parked near airplanes at an airport terminal.
4912,A bunch of people outside of a building.
4913,A surfboard with a seat installed sits on the beach
4914,Two giraffes standing with one another behind a zoo fence. 
4915,A bridge and vehicles going down the street.
4916,A homemade pizza with jarred sauce and cheese
4917,A toddler is enjoying a very large sub sandwich
4918,A woman at a crosswalk that has a green light.
4919,A very cool coast guard boat at a dock.
4920,A woman holding an umbrella is walking on the sidewalk next to a man.
4921,an image of a horse in a coral barn
4922,A living room couch facing a small television.
4923,"A umpire, catcher, and batter are poised for a pitch."
4924,A person who is covering their face as they sit next to some luggage.
4925,"Signs are attached to a light pole, featuring a large clock."
4926,A child with green frog umbrella standing with a parent near water's edge.
4927,The pizza has olives and bacon on it
4928,Several Delta airplanes parked on the landing strip area in front of a Renaissance Hotel.
4929,Female tennis player in pink and white outfit with crowd watching. 
4930,A herd of zebras gather around what appears to be a dish of water in a grassy field.
4931,A female cross country skier navigates a forest trail
4932,a man is playing tennis on a court
4933,there is a woman that is sitting and using her phone 
4934,People walking down ramp of a air plane.
4935,A photograph of a skier performing a stunt.
4936,Three men helping to fill up wine glasses with bottles of wine.
4937,an elephants in a field near a body of water 
4938,A plate that has some salad on it.
4939,aerial view of water and land from a airplane
4940,A couple of people skiing and snowboarding in the snow.
4941,A bird walking on a paved street near power lines.
4942,An old model train pulling to a stop at a train station.
4943,three people sitting on a couch with a nintendo wii remote on the table
4944,a person that is jumping his skateboard in the air
4945,Guys on thegrass court playing a game of tennis
4946,A bunch of people in a room holding some remotes.
4947,A zebra standing outside is swishing its tail.
4948,A street scene with horses pulling a large carriage.
4949,a bird feeder that is attached to a tree
4950,A photograph of a skier performing a stunt.
4951,Orange and white train stopping to pick up passengers.
4952,A giraffe in a grassy area of land with trees surrounding it.
4953,A city street with cars and street signs giving directions
4954,an image of a dog that is on a surfboard
4955,"A group of people standing around, in the middle of a building."
4956,a elephant that is swimming in some water
4957,"A worn, brown case sits behind someones legs on a tiled floor"
4958,A person is flying off the top of a wave on a surf board.
4959,A woman flying a red kite on a brown field.
4960,The pizza is covered in cheese and grease.
4961,A Honda sits parked with two surfboards on top.
4962,Looking though a glass into a industrial kitchen.
4963,"A batter, catcher and umpire during a baseball game."
4964,Small airplane sitting on a beach with waves in the background.
4965,A pizza adorned with macaroni and cheese sits on a plate.
4966,the train number 66520 is parked at the station
4967,A sandwich and fries are sitting on a plate.
4968,A toilet is in a bathroom near a stool.
4969,a small raft boat on a boat near the water 
4970,A skateboarder is crouching and arms fixed as if to run into something.
4971,an image of a dog that is on a surfboard
4972,A woman at a crosswalk that has a green light.
4973,A picture of a kitchen that is white.
4974,a double decker bus drives past the photographer.
4975,A person holding a kite in a big brown field.
4976,Donkeys walk on the sand along a beach.
4977,A tan and white cat looking out a storm door.
4978,An old-fashioned safe and roll top desk in a green room
4979,"A furniture store display, with a chair and set out"
4980,Several people holding balloons and standing behind a fence.
4981,a double decker bus sit parked on a gravel road 
4982,A dog is carrying a Frisbee in its mouth. 
4983,A boy and girl are looking at an elephant.
4984,Skate boarder doing tricks on pavement in the dark.
4985,Bicycles lined up on the side of the road.
4986,a bench with a red cover sitting next to a tower with writing on it 
4987,two brown and white dogs are playing frisbee
4988,A kitchen with wooden cabinets next to a doorway.
4989,A bathroom with orange and white walls and an odd looking toilet.
4990,a studded bear is sitting against a frame
4991,A small sign on a wooden post indicating handicap accessibility.
4992,a skate boarder doing a flip over on the course
4993,Slice of dessert item on monogrammed small plate.
4994,Four girls and two boys sitting in the back of a parked white Ford Super Duty pickup truck.
4995,a vending machine that has some food in it
4996,a man holding onto another persons hand as he leans over to grab a frisbee
4997,a close up of an orange sliced in half 
4998,A cat sprawls out and sleeps on its back on a lounge chair with an acorn theme.
4999,A couple dogs playing on a rug in a small living room between a fireplace and the stairs.
5000,A man standing on top of a rocky hillside next to the ocean.
5001,A man makes a face as he smells a carton in the refrigerator.
5002,a town with a bunch of buildings and people walking down a street 
5003,a close up of many different cup cakes
5004,some boys having some food at a table together 
5005,A stop sign and a no stopping sign hang on a wooden pole.
5006,Orange and white train stopping to pick up passengers.
5007,An airplane is flying against a beautiful sunset.
5008,A woman cross country skiing the dog outside her home
5009,some boys having some food at a table together 
5010,Several different types of apples sit in white bins.
5011,A man in a suit carrying an umbrella walks across a tight rope while a woman in a gown waits for him on the other side.
5012,A person in a kayak is throwing a ball.
5013,Two giraffes standing next to each other near bushes and rocks. 
5014,The view of an elephant's head through a display window.
5015,A living room couch facing a small television.
5016,Baseball swinging a bat on a baseball field.
5017,A couple of people playing a game of frisbee on a green field.
5018,"A worn, brown case sits behind someones legs on a tiled floor"
5019,Two kids in snow gear on skis on a snowy slope.
5020,A woman holds a pink umbrella in front of her that is covered in German words. 
5021,Old and empty industrial kitchen with large stoves.
5022,Young child holding toothbrush and smiling in soapy bathtub.
5023,A bird is walking on top of a laptop keyboard.
5024,A zebra standing outside is swishing its tail.
5025,"A bed with a lamp, a cat, and a chair next to it."
5026,A dog is carrying a Frisbee in its mouth. 
5027,A man holding a knife while standing in a kitchen.
5028,A close up of a black fire hydrant on the side of the street.
5029,People carry colorfully lit umbrellas while watching fireworks on a TV at night.
5030,a street pole with a posted sign on the front
5031,"A cafeteria meal of salad, vegetable pizza and apple juice on a plastic tray"
5032,a very green bedroom with a white bed
5033,A fence with many signs and a guard rail.
